ID,PRIORITY,TYPE,ARRIVAL_STEP,DIMENSIONX,RAGGIO
P001,8,A,0,100.0,10.0
P002,2,B,0,100.0,10.0
P003,5,A,3,98.5,9.8
P004,9,B,5,101.2,10.1
P005,1,A,8,105.0,10.5
P006,6,B,10,99.0,9.9
P007,3,A,12,100.5,10.0
P008,10,B,15,97.0,9.7
P009,4,A,18,103.0,10.3
P010,7,B,20,100.0,10.0
P011,0,A,25,60.0,6.0
P012,8,B,28,100.8,10.0
P013,2,A,30,100.0,10.0
P014,9,B,35,110.0,11.0
P015,5,A,40,99.5,9.9
P016,3,B,42,100.0,10.0
P017,6,A,45,101.0,10.1
P018,1,B,50,95.0,9.5
P019,10,A,55,100.0,10.0
P020,4,B,60,102.0,10.2
P021,7,A,65,100.0,10.0
P022,8,B,70,98.0,9.8
P023,2,A,75,100.0,10.0
P024,5,B,80,100.3,10.0
P025,9,A,85,100.0,10.0
